Accomack County, Richard M Nixon, Republican, 71.97
Northumberland County, Richard M Nixon, Republican, 71.58
Nottoway County, Richard M Nixon, Republican, 68.22
Orange County, Richard M Nixon, Republican, 71.28
Page County, Richard M Nixon, Republican, 72.34
Patrick County, Richard M Nixon, Republican, 73.35
Pittsylvania County, Richard M Nixon, Republican, 72.34
Powhatan County, Richard M Nixon, Republican, 66.43
Prince Edward County, Richard M Nixon, Republican, 65.96
Prince George County, Richard M Nixon, Republican, 67.71
Prince William County, Richard M Nixon, Republican, 72.26
Pulaski County, Richard M Nixon, Republican, 72.01
Rappahannock County, Richard M Nixon, Republican, 68.2
Richmond County, Richard M Nixon, Republican, 77.55
Roanoke County, Richard M Nixon, Republican, 77.28
Rockbridge County, Richard M Nixon, Republican, 74.28
Rockingham County, Richard M Nixon, Republican, 81.67
Russell County, Richard M Nixon, Republican, 58.93
Scott County, Richard M Nixon, Republican, 66.18
Shenandoah County, Richard M Nixon, Republican, 82.46
Smyth County, Richard M Nixon, Republican, 72.27
Southampton County, Richard M Nixon, Republican, 67.09
Spotsylvania County, Richard M Nixon, Republican, 65.73
Stafford County, Richard M Nixon, Republican, 72.39
Surry County, Richard M Nixon, Republican, 50.4
Sussex County, Richard M Nixon, Republican, 54.99
Tazewell County, Richard M Nixon, Republican, 67.81
Warren County, Richard M Nixon, Republican, 69.4
Washington County, Richard M Nixon, Republican, 72.7
Westmoreland County, Richard M Nixon, Republican, 66
Wise County, Richard M Nixon, Republican, 59.94
Wythe County, Richard M Nixon, Republican, 73.96
York County, Richard M Nixon, Republican, 74.9
Alexandria City, Richard M Nixon, Republican, 55.95
Bedford City, Richard M Nixon, Republican, 68.2
Bristol City, Richard M Nixon, Republican, 68.46
Buena Vista City, Richard M Nixon, Republican, 70.26
Charlottesville City, Richard M Nixon, Republican, 59.42
Chesapeake City, Richard M Nixon, Republican, 67.95
Clifton Forge City, Richard M Nixon, Republican, 63.17
Colonial Heights City, Richard M Nixon, Republican, 87.99
Covington City, Richard M Nixon, Republican, 63.71
Danville City, Richard M Nixon, Republican, 73.68
Emporia City, Richard M Nixon, Republican, 68.82
Fairfax City, Richard M Nixon, Republican, 67.73
Falls Church City, Richard M Nixon, Republican, 60.02
Franklin City, Richard M Nixon, Republican, 64.98
Fredericksburg City, Richard M Nixon, Republican, 64.53
Galax City, Richard M Nixon, Republican, 72.63
Hampton City, Richard M Nixon, Republican, 65.49
Harrisonburg City, Richard M Nixon, Republican, 77.26
Hopewell City, Richard M Nixon, Republican, 75.88
Lexington City, Richard M Nixon, Republican, 64.98
Lynchburg City, Richard M Nixon, Republican, 74.11
Martinsville City, Richard M Nixon, Republican, 61.32
Nansemond City, Richard M Nixon, Republican, 57.57
Newport News City, Richard M Nixon, Republican, 67.4
Norfolk City, Richard M Nixon, Republican, 57.97
Norton City, Richard M Nixon, Republican, 62.68
Petersburg City, Richard M Nixon, Republican, 55.67
Portsmouth City, Richard M Nixon, Republican, 58.49
Radford City, Richard M Nixon, Republican, 68.68
Richmond City, Richard M Nixon, Republican, 57.59
Roanoke City, Richard M Nixon, Republican, 64.67
Salem City, Richard M Nixon, Republican, 74.79
South Boston City, Richard M Nixon, Republican, 71.59
Staunton City, Richard M Nixon, Republican, 78.25
Suffolk City, Richard M Nixon, Republican, 69.54
Virginia Beach City, Richard M Nixon, Republican, 76.56
Waynesboro City, Richard M Nixon, Republican, 77.75
Williamsburg City, Richard M Nixon, Republican, 57.46
Winchester City, Richard M Nixon, Republican, 75.55
