Accomack County, Al Smith, Democrat, 57.15
Middlesex County, Al Smith, Democrat, 55.37
Montgomery County, Herbert Hoover, Republican, 65.64
Nansemond County, Al Smith, Democrat, 53.14
Nelson County, Al Smith, Democrat, 66.27
New Kent County, Herbert Hoover, Republican, 54.66
Norfolk County, Herbert Hoover, Republican, 57.39
Northampton County, Al Smith, Democrat, 57.61
Northumberland County, Herbert Hoover, Republican, 72.09
Nottoway County, Al Smith, Democrat, 59.61
Orange County, Al Smith, Democrat, 53.61
Page County, Herbert Hoover, Republican, 60.65
Patrick County, Herbert Hoover, Republican, 57.26
Pittsylvania County, Herbert Hoover, Republican, 60.52
Powhatan County, Al Smith, Democrat, 60.29
Prince Edward County, Al Smith, Democrat, 58.35
Prince George County, Al Smith, Democrat, 64.36
Prince William County, Al Smith, Democrat, 50.27
Princess Anne County, Herbert Hoover, Republican, 55.23
Pulaski County, Herbert Hoover, Republican, 52.32
Rappahannock County, Al Smith, Democrat, 60.93
Richmond County, Herbert Hoover, Republican, 61.53
Roanoke County, Herbert Hoover, Republican, 67.53
Rockbridge County, Al Smith, Democrat, 51.94
Rockingham County, Herbert Hoover, Republican, 73.06
Russell County, Al Smith, Democrat, 55.55
Scott County, Herbert Hoover, Republican, 55.28
Shenandoah County, Herbert Hoover, Republican, 68.01
Smyth County, Herbert Hoover, Republican, 58.53
Southampton County, Al Smith, Democrat, 56.53
Spotsylvania County, Herbert Hoover, Republican, 59.78
Stafford County, Herbert Hoover, Republican, 64.27
Surry County, Al Smith, Democrat, 77.29
Sussex County, Al Smith, Democrat, 58.69
Tazewell County, Herbert Hoover, Republican, 60.65
Warren County, Al Smith, Democrat, 55.64
Warwick County, Herbert Hoover, Republican, 60.78
Washington County, Herbert Hoover, Republican, 56.25
Westmoreland County, Herbert Hoover, Republican, 58.5
Wise County, Al Smith, Democrat, 50.24
Wythe County, Herbert Hoover, Republican, 62.56
York County, Herbert Hoover, Republican, 76.7
Alexandria City, Herbert Hoover, Republican, 55.26
Bristol City, Al Smith, Democrat, 59.25
Buena Vista City, Herbert Hoover, Republican, 60.68
Charlottesville City, Al Smith, Democrat, 58.25
Clifton Forge City, Herbert Hoover, Republican, 56.92
Danville City, Herbert Hoover, Republican, 66.27
Fredericksburg City, Herbert Hoover, Republican, 53.91
Hampton City, Al Smith, Democrat, 53.02
Harrisonburg City, Herbert Hoover, Republican, 62.66
Hopewell City, Herbert Hoover, Republican, 51.11
Lynchburg City, Herbert Hoover, Republican, 57.88
Newport News City, Herbert Hoover, Republican, 61.34
Norfolk City, Herbert Hoover, Republican, 58.65
Petersburg City, Al Smith, Democrat, 60.22
Portsmouth City, Herbert Hoover, Republican, 57.04
Radford City, Herbert Hoover, Republican, 58.29
Richmond City, Herbert Hoover, Republican, 51.2
Roanoke City, Herbert Hoover, Republican, 61.62
South Norfolk City, Herbert Hoover, Republican, 84.56
Staunton City, Herbert Hoover, Republican, 58.13
Suffolk City, Al Smith, Democrat, 52.56
Williamsburg City, Al Smith, Democrat, 75.98
Winchester City, Herbert Hoover, Republican, 59.35
