Accomack County, Franklin D Roosevelt, Democrat, 62.5
Hopewell City, Franklin D Roosevelt, Democrat, 77.49
Lynchburg City, Franklin D Roosevelt, Democrat, 64.08
Martinsville City, Franklin D Roosevelt, Democrat, 70.38
Newport News City, Franklin D Roosevelt, Democrat, 76.3
Norfolk City, Franklin D Roosevelt, Democrat, 70.66
Petersburg City, Franklin D Roosevelt, Democrat, 75.68
Portsmouth City, Franklin D Roosevelt, Democrat, 83.39
Radford City, Franklin D Roosevelt, Democrat, 57.91
Richmond City, Franklin D Roosevelt, Democrat, 71.95
Roanoke City, Franklin D Roosevelt, Democrat, 58.81
South Norfolk City, Franklin D Roosevelt, Democrat, 79.11
Staunton City, Franklin D Roosevelt, Democrat, 57.6
Suffolk City, Franklin D Roosevelt, Democrat, 70.11
Williamsburg City, Franklin D Roosevelt, Democrat, 67.66
Winchester City, Thomas E Dewey, Republican, 52.09
