Clay	433	96.65%	12	2.68%	3	0.67%	0	0.00%	0	0.00%	421	93.97%	448
Clayton	1,361	97.01%	35	2.49%	5	0.36%	2	0.14%	0	0.00%	1,326	94.51%	1,403
Clinch	461	97.26%	11	2.32%	2	0.42%	0	0.00%	0	0.00%	450	94.94%	474
Cobb	3,079	92.71%	218	6.56%	23	0.69%	1	0.03%	0	0.00%	2,861	86.15%	3,321
Coffee	1,652	97.06%	29	1.70%	17	1.00%	4	0.24%	0	0.00%	1,623	95.36%	1,702
Colquitt	3,534	96.77%	101	2.77%	15	0.41%	2	0.05%	0	0.00%	3,433	94.00%	3,652
Columbia	528	97.96%	11	2.04%	0	0.00%	0	0.00%	0	0.00%	517	95.92%	539
Cook	1,408	97.78%	25	1.74%	6	0.42%	1	0.07%	0	0.00%	1,383	96.04%	1,440
Coweta	2,183	97.67%	46	2.06%	6	0.27%	0	0.00%	0	0.00%	2,137	95.62%	2,235
Crawford	272	96.80%	9	3.20%	0	0.00%	0	0.00%	0	0.00%	263	93.59%	281
Crisp	725	97.97%	10	1.35%	4	0.54%	1	0.14%	0	0.00%	715	96.62%	740
Dade	770	86.81%	103	11.61%	7	0.79%	7	0.79%	0	0.00%	667	75.20%	887
Dawson	567	83.88%	105	15.53%	4	0.59%	0	0.00%	0	0.00%	462	68.34%	676
Decatur	1,169	93.00%	65	5.17%	7	0.56%	16	1.27%	0	0.00%	1,104	87.83%	1,257
De Kalb	5,323	88.14%	633	10.48%	37	0.61%	45	0.75%	1	0.02%	4,690	77.66%	6,039
Dodge	2,809	98.80%	33	1.16%	1	0.04%	0	0.00%	0	0.00%	2,776	97.64%	2,843
Dooly	1,139	98.96%	8	0.70%	4	0.35%	0	0.00%	0	0.00%	1,131	98.26%	1,151
Dougherty	2,012	95.04%	95	4.49%	2	0.09%	8	0.38%	0	0.00%	1,917	90.55%	2,117
Douglas	1,013	93.19%	57	5.24%	16	1.47%	1	0.09%	0	0.00%	956	87.95%	1,087
Early	1,131	98.18%	19	1.65%	2	0.17%	0	0.00%	0	0.00%	1,112	96.53%	1,152
Echols	414	98.81%	5	1.19%	0	0.00%	0	0.00%	0	0.00%	409	97.61%	419
Effingham	518	84.92%	90	14.75%	2	0.33%	0	0.00%	0	0.00%	428	70.16%	610
Elbert	2,023	95.47%	77	3.63%	16	0.76%	3	0.14%	0	0.00%	1,946	91.84%	2,119
Emanuel	2,420	98.49%	33	1.34%	2	0.08%	2	0.08%	0	0.00%	2,387	97.15%	2,457
Evans	548	95.14%	21	3.65%	7	1.22%	0	0.00%	0	0.00%	527	91.49%	576
Fannin	1,375	41.14%	1,967	58.86%	0	0.00%	0	0.00%	0	0.00%	-592	-17.71%	3,342
Fayette	746	99.07%	6	0.80%	1	0.13%	0	0.00%	0	0.00%	740	98.27%	753
Floyd	4,342	92.94%	300	6.42%	19	0.41%	11	0.24%	0	0.00%	4,042	86.52%	4,672
Forsyth	1,627	92.97%	117	6.69%	6	0.34%	0	0.00%	0	0.00%	1,510	86.29%	1,750
Franklin	1,361	93.16%	78	5.34%	18	1.23%	4	0.27%	0	0.00%	1,283	87.82%	1,461
Fulton	20,137	89.69%	2,063	9.19%	144	0.64%	103	0.46%	6	0.03%	18,074	80.50%	22,453
Gilmer	1,210	66.27%	616	33.73%	0	0.00%	0	0.00%	0	0.00%	594	32.53%	1,826
Glascock	393	98.25%	7	1.75%	0	0.00%	0	0.00%	0	0.00%	386	96.50%	400
Glynn	1,262	86.91%	186	12.81%	2	0.14%	2	0.14%	0	0.00%	1,076	74.10%	1,452
Gordon	1,708	92.42%	122	6.60%	13	0.70%	5	0.27%	0	0.00%	1,586	85.82%	1,848
Grady	2,184	96.89%	60	2.66%	10	0.44%	0	0.00%	0	0.00%	2,124	94.23%	2,254
Greene	918	94.44%	52	5.35%	2	0.21%	0	0.00%	0	0.00%	866	89.09%	972
Gwinnett	2,616	96.60%	91	3.36%	0	0.00%	1	0.04%	0	0.00%	2,525	93.24%	2,708
Habersham	1,693	86.95%	225	11.56%	15	0.77%	14	0.72%	0	0.00%	1,468	75.40%	1,947
Hall	2,649	95.29%	120	4.32%	11	0.40%	0	0.00%	0	0.00%	2,529	90.97%	2,780
Hancock	529	96.01%	18	3.27%	4	0.73%	0	0.00%	0	0.00%	511	92.74%	551
Haralson	1,278	85.14%	223	14.86%	0	0.00%	0	0.00%	0	0.00%	1,055	70.29%	1,501
Harris	851	97.26%	21	2.40%	3	0.34%	0	0.00%	0	0.00%	830	94.86%	875
Hart	1,261	98.98%	12	0.94%	1	0.08%	0	0.00%	0	0.00%	1,249	98.04%	1,274
Heard	989	97.34%	24	2.36%	3	0.30%	0	0.00%	0	0.00%	965	94.98%	1,016
Henry	1,496	97.65%	21	1.37%	15	0.98%	0	0.00%	0	0.00%	1,475	96.28%	1,532
Houston	460	94.46%	27	5.54%	0	0.00%	0	0.00%	0	0.00%	433	88.91%	487
Irwin	1,416	98.40%	22	1.53%	1	0.07%	0	0.00%	0	0.00%	1,394	96.87%	1,439
Jackson	1,389	93.54%	80	5.39%	12	0.81%	4	0.27%	0	0.00%	1,309	88.15%	1,485
Jasper	773	97.85%	14	1.77%	3	0.38%	0	0.00%	0	0.00%	759	96.08%	790
Jeff Davis	1,179	95.70%	50	4.06%	3	0.24%	0	0.00%	0	0.00%	1,129	91.64%	1,232
Jefferson	1,454	94.66%	65	4.23%	16	1.04%	1	0.07%	0	0.00%	1,389	90.43%	1,536
Jenkins	510	96.23%	20	3.77%	0	0.00%	0	0.00%	0	0.00%	490	92.45%	530
Johnson	1,314	98.06%	18	1.34%	8	0.60%	0	0.00%	0	0.00%	1,296	96.72%	1,340
Jones	553	99.46%	0	0.00%	2	0.36%	1	0.18%	0	0.00%	551[a]	99.10%	556
Lamar	714	94.69%	33	4.38%	4	0.53%	3	0.40%	0	0.00%	681	90.32%	754
Lanier	211	97.24%	3	1.38%	3	1.38%	0	0.00%	0	0.00%	208	95.85%	217
Laurens	2,188	98.25%	38	1.71%	1	0.04%	0	0.00%	0	0.00%	2,150	96.54%	2,227
Lee	252	97.67%	6	2.33%	0	0.00%	0	0.00%	0	0.00%	246	95.35%	258
Liberty	289	93.83%	18	5.84%	1	0.32%	0	0.00%	0	0.00%	271	87.99%	308
Lincoln	660	99.40%	3	0.45%	1	0.15%	0	0.00%	0	0.00%	657	98.95%	664
Long	430	95.77%	14	3.12%	5	1.11%	0	0.00%	0	0.00%	416	92.65%	449
Lowndes	1,840	94.65%	97	4.99%	6	0.31%	1	0.05%	0	0.00%	1,743	89.66%	1,944
Lumpkin	924	91.94%	81	8.06%	0	0.00%	0	0.00%	0	0.00%	843	83.88%	1,005
Macon	1,438	96.06%	55	3.67%	4	0.27%	0	0.00%	0	0.00%	1,383	92.38%	1,497
Madison	2,124	97.88%	38	1.75%	8	0.37%	0	0.00%	0	0.00%	2,086	96.13%	2,170
Marion	455	94.99%	24	5.01%	0	0.00%	0	0.00%	0	0.00%	431	89.98%	479
McDuffie	568	94.04%	29	4.80%	7	1.16%	0	0.00%	0	0.00%	539	89.24%	604
McIntosh	271	93.45%	19	6.55%	0	0.00%	0	0.00%	0	0.00%	252	86.90%	290
Meriwether	2,604	97.82%	53	1.99%	4	0.15%	1	0.04%	0	0.00%	2,551	95.83%	2,662
Miller	392	98.99%	0	0.00%	0	0.00%	4	1.01%	0	0.00%	388[b]	97.98%	396
Mitchell	2,097	99.06%	15	0.71%	5	0.24%	0	0.00%	0	0.00%	2,082	98.35%	2,117
Monroe	1,200	96.31%	45	3.61%	1	0.08%	0	0.00%	0	0.00%	1,155	92.70%	1,246
Montgomery	868	97.20%	17	1.90%	8	0.90%	0	0.00%	0	0.00%	851	95.30%	893
Morgan	923	91.75%	74	7.36%	8	0.80%	1	0.10%	0	0.00%	849	84.39%	1,006
Murray	1,874	83.92%	350	15.67%	9	0.40%	0	0.00%	0	0.00%	1,524	68.25%	2,233
Muscogee	3,413	93.07%	230	6.27%	9	0.25%	15	0.41%	0	0.00%	3,183	86.80%	3,667
Newton	1,672	96.82%	45	2.61%	7	0.41%	3	0.17%	0	0.00%	1,627	94.21%	1,727
Oconee	664	92.48%	39	5.43%	13	1.81%	2	0.28%	0	0.00%	625	87.05%	718
Oglethorpe	1,240	97.03%	34	2.66%	2	0.16%	0	0.00%	2	0.16%	1,206	94.37%	1,278
Paulding	1,914	85.98%	276	12.40%	31	1.39%	5	0.22%	0	0.00%	1,638	73.58%	2,226
Peach	595	90.70%	56	8.54%	3	0.46%	2	0.30%	0	0.00%	539	82.16%	656
Pickens	1,472	66.46%	743	33.54%	0	0.00%	0	0.00%	0	0.00%	729	32.91%	2,215
Pierce	1,094	96.90%	29	2.57%	6	0.53%	0	0.00%	0	0.00%	1,065	94.33%	1,129
Pike	1,021	95.96%	33	3.10%	10	0.94%	0	0.00%	0	0.00%	988	92.86%	1,064
Polk	2,170	91.14%	211	8.86%	0	0.00%	0	0.00%	0	0.00%	1,959	82.28%	2,381
Pulaski	973	98.58%	14	1.42%	0	0.00%	0	0.00%	0	0.00%	959	97.16%	987
Putnam	770	95.53%	33	4.09%	2	0.25%	1	0.12%	0	0.00%	737	91.44%	806
Quitman	239	98.35%	0	0.00%	4	1.65%	0	0.00%	0	0.00%	235[a]	96.71%	243
Rabun	893	91.22%	78	7.97%	6	0.61%	1	0.10%	1	0.10%	815	83.25%	979
Randolph	1,344	97.18%	31	2.24%	8	0.58%	0	0.00%	0	0.00%	1,313	94.94%	1,383
Richmond	4,873	85.58%	738	12.96%	27	0.47%	53	0.93%	3	0.05%	4,135	72.62%	5,694
Rockdale	461	95.45%	18	3.73%	4	0.83%	0	0.00%	0	0.00%	443	91.72%	483
Schley	398	97.55%	8	1.96%	2	0.49%	0	0.00%	0	0.00%	390	95.59%	408
Screven	508	91.20%	46	8.26%	3	0.54%	0	0.00%	0	0.00%	462	82.94%	557
Seminole	776	96.28%	20	2.48%	8	0.99%	2	0.25%	0	0.00%	756	93.80%	806
Spalding	2,185	97.07%	54	2.40%	8	0.36%	4	0.18%	0	0.00%	2,131	94.67%	2,251
Stephens	1,026	97.53%	18	1.71%	6	0.57%	2	0.19%	0	0.00%	1,008	95.82%	1,052
Stewart	588	97.03%	15	2.48%	3	0.50%	0	0.00%	0	0.00%	573	94.55%	606
Sumter	1,619	95.69%	57	3.37%	16	0.95%	0	0.00%	0	0.00%	1,562	92.32%	1,692
Talbot	912	95.00%	45	4.69%	3	0.31%	0	0.00%	0	0.00%	867	90.31%	960
Taliaferro	503	99.41%	3	0.59%	0	0.00%	0	0.00%	0	0.00%	500	98.81%	506
Tattnall	2,133	98.02%	37	1.70%	6	0.28%	0	0.00%	0	0.00%	2,096	96.32%	2,176
Taylor	685	93.58%	44	6.01%	1	0.14%	2	0.27%	0	0.00%	641	87.57%	732
Telfair	746	93.60%	45	5.65%	5	0.63%	1	0.13%	0	0.00%	701	87.95%	797
Terrell	1,000	97.37%	24	2.34%	3	0.29%	0	0.00%	0	0.00%	976	95.03%	1,027
Thomas	2,607	96.20%	90	3.32%	9	0.33%	4	0.15%	0	0.00%	2,517	92.88%	2,710
Tift	1,394	95.09%	65	4.43%	5	0.34%	2	0.14%	0	0.00%	1,329	90.65%	1,466
Toombs	1,868	96.49%	54	2.79%	8	0.41%	6	0.31%	0	0.00%	1,814	93.70%	1,936
Towns	742	48.43%	790	51.57%	0	0.00%	0	0.00%	0	0.00%	-48	-3.13%	1,532
Treutlen	849	95.93%	36	4.07%	0	0.00%	0	0.00%	0	0.00%	813	91.86%	885
Troup	2,371	96.62%	81	3.30%	2	0.08%	0	0.00%	0	0.00%	2,290	93.32%	2,454
Turner	909	93.04%	59	6.04%	6	0.61%	3	0.31%	0	0.00%	850	87.00%	977
Twiggs	646	97.29%	15	2.26%	2	0.30%	1	0.15%	0	0.00%	631	95.03%	664
Union	1,344	62.40%	810	37.60%	0	0.00%	0	0.00%	0	0.00%	534	24.79%	2,154
Upson	1,660	98.57%	20	1.19%	3	0.18%	1	0.06%	0	0.00%	1,640	97.39%	1,684
Walker	2,255	83.80%	405	15.05%	22	0.82%	7	0.26%	2	0.07%	1,850	68.75%	2,691
Walton	2,136	98.34%	36	1.66%	0	0.00%	0	0.00%	0	0.00%	2,100	96.69%	2,172
Ware	2,504	91.96%	205	7.53%	9	0.33%	4	0.15%	1	0.04%	2,299	84.43%	2,723
Warren	676	96.99%	18	2.58%	3	0.43%	0	0.00%	0	0.00%	658	94.40%	697
Washington	1,923	99.33%	9	0.46%	3	0.15%	1	0.05%	0	0.00%	1,914	98.86%	1,936
Wayne	1,044	93.97%	60	5.40%	3	0.27%	3	0.27%	1	0.09%	984	88.57%	1,111
Webster	235	97.92%	5	2.08%	0	0.00%	0	0.00%	0	0.00%	230	95.83%	240
Wheeler	1,127	97.41%	29	2.51%	1	0.09%	0	0.00%	0	0.00%	1,098	94.90%	1,157
White	936	94.45%	53	5.35%	2	0.20%	0	0.00%	0	0.00%	883	89.10%	991
Whitfield	2,384	81.87%	483	16.59%	35	1.20%	9	0.31%	1	0.03%	1,901	65.28%	2,912
Wilcox	619	95.97%	25	3.88%	0	0.00%	1	0.16%	0	0.00%	594	92.09%	645
Wilkes	1,172	95.75%	42	3.43%	9	0.74%	1	0.08%	0	0.00%	1,130	92.32%	1,224
Wilkinson	726	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	726	100.00%	726
Worth	2,269	98.23%	38	1.65%	3	0.13%	0	0.00%	0	0.00%	2,231	96.58%	2,310
Totals	234,118	91.60%	19,863	7.77%	1,125	0.44%	461	0.18%	23	0.01%	214,255	83.83%	255,590
