Accomack County, Dwight D Eisenhower, Republican, 54.25
Westmoreland County, Dwight D Eisenhower, Republican, 54.45
Wise County, Adlai Stevenson, Democrat, 53.04
Wythe County, Dwight D Eisenhower, Republican, 65.65
York County, Dwight D Eisenhower, Republican, 60.1
Alexandria City, Dwight D Eisenhower, Republican, 52.48
Bristol City, Dwight D Eisenhower, Republican, 51.89
Buena Vista City, Dwight D Eisenhower, Republican, 60.76
Charlottesville City, Dwight D Eisenhower, Republican, 62.19
Clifton Forge City, Dwight D Eisenhower, Republican, 61.48
Colonial Heights City, Dwight D Eisenhower, Republican, 47.74
Covington City, Dwight D Eisenhower, Republican, 56.34
Danville City, Dwight D Eisenhower, Republican, 59.03
Falls Church City, Dwight D Eisenhower, Republican, 53.13
Fredericksburg City, Dwight D Eisenhower, Republican, 60.25
Galax City, Dwight D Eisenhower, Republican, 68.31
Hampton City, Dwight D Eisenhower, Republican, 57.24
Harrisonburg City, Dwight D Eisenhower, Republican, 78.29
Hopewell City, Dwight D Eisenhower, Republican, 53.91
Lynchburg City, Dwight D Eisenhower, Republican, 64.81
Martinsville City, Dwight D Eisenhower, Republican, 59.67
Newport News City, Dwight D Eisenhower, Republican, 53.26
Norfolk City, Dwight D Eisenhower, Republican, 54.02
Norton City, Dwight D Eisenhower, Republican, 55.12
Petersburg City, Dwight D Eisenhower, Republican, 58.1
Portsmouth City, Adlai Stevenson, Democrat, 49.69
Radford City, Dwight D Eisenhower, Republican, 62.46
Richmond City, Dwight D Eisenhower, Republican, 61.79
Roanoke City, Dwight D Eisenhower, Republican, 69.38
South Norfolk City, Adlai Stevenson, Democrat, 51.84
Staunton City, Dwight D Eisenhower, Republican, 74.93
Suffolk City, Dwight D Eisenhower, Republican, 57.5
Virginia Beach City, Dwight D Eisenhower, Republican, 53.28
Warwick City, Dwight D Eisenhower, Republican, 56.39
Waynesboro City, Dwight D Eisenhower, Republican, 71
Williamsburg City, Dwight D Eisenhower, Republican, 62.6
Winchester City, Dwight D Eisenhower, Republican, 69.46
