Accomack County, George C Wallace, Dixiecrat, 37.69
Montgomery County, Richard M Nixon, Republican, 61.47
Nansemond County, Hubert H Humphrey, Democrat, 41.6
Nelson County, George C Wallace, Dixiecrat, 33.95
New Kent County, Hubert H Humphrey, Democrat, 40.18
Northampton County, Hubert H Humphrey, Democrat, 35.68
Northumberland County, Richard M Nixon, Republican, 41.18
Nottoway County, George C Wallace, Dixiecrat, 34.64
Orange County, Richard M Nixon, Republican, 47.17
Page County, Richard M Nixon, Republican, 53.93
Patrick County, Richard M Nixon, Republican, 41.46
Pittsylvania County, George C Wallace, Dixiecrat, 46.77
Powhatan County, Hubert H Humphrey, Democrat, 37.7
Prince Edward County, Richard M Nixon, Republican, 39.8
Prince George County, George C Wallace, Dixiecrat, 40.33
Prince William County, Richard M Nixon, Republican, 42.51
Pulaski County, Richard M Nixon, Republican, 53.35
Rappahannock County, Richard M Nixon, Republican, 43.58
Richmond County, Richard M Nixon, Republican, 48.86
Roanoke County, Richard M Nixon, Republican, 58.89
Rockbridge County, Richard M Nixon, Republican, 56.8
Rockingham County, Richard M Nixon, Republican, 66.4
Russell County, Richard M Nixon, Republican, 43.49
Scott County, Richard M Nixon, Republican, 53.54
Shenandoah County, Richard M Nixon, Republican, 62.91
Smyth County, Richard M Nixon, Republican, 54.32
Southampton County, George C Wallace, Dixiecrat, 39.34
Spotsylvania County, Richard M Nixon, Republican, 34
Stafford County, Richard M Nixon, Republican, 39.68
Surry County, Hubert H Humphrey, Democrat, 47.59
Sussex County, Hubert H Humphrey, Democrat, 40.62
Tazewell County, Hubert H Humphrey, Democrat, 41.75
Warren County, Richard M Nixon, Republican, 43.37
Washington County, Richard M Nixon, Republican, 51.16
Westmoreland County, Richard M Nixon, Republican, 39.99
Wise County, Hubert H Humphrey, Democrat, 47.14
Wythe County, Richard M Nixon, Republican, 52.25
York County, Richard M Nixon, Republican, 36.93
Alexandria City, Hubert H Humphrey, Democrat, 45.11
Bedford City, Richard M Nixon, Republican, 43.99
Bristol City, Richard M Nixon, Republican, 44.09
Buena Vista City, Richard M Nixon, Republican, 49.04
Charlottesville City, Richard M Nixon, Republican, 49.41
Chesapeake City, George C Wallace, Dixiecrat, 44.77
Clifton Forge City, Richard M Nixon, Republican, 43.59
Colonial Heights City, Richard M Nixon, Republican, 48.96
Covington City, Richard M Nixon, Republican, 43.14
Danville City, Richard M Nixon, Republican, 40.27
Emporia City, Richard M Nixon, Republican, 37.06
Fairfax City, Richard M Nixon, Republican, 48.7
Falls Church City, Richard M Nixon, Republican, 45.76
Franklin City, Richard M Nixon, Republican, 42.15
Fredericksburg City, Richard M Nixon, Republican, 42.27
Galax City, Richard M Nixon, Republican, 54.44
Hampton City, Hubert H Humphrey, Democrat, 34.68
Harrisonburg City, Richard M Nixon, Republican, 65.69
Hopewell City, Richard M Nixon, Republican, 43.63
Lexington City, Richard M Nixon, Republican, 56.12
Lynchburg City, Richard M Nixon, Republican, 54.34
Martinsville City, Hubert H Humphrey, Democrat, 37.48
Newport News City, Hubert H Humphrey, Democrat, 36.07
Norfolk City, Hubert H Humphrey, Democrat, 43.26
Norton City, Hubert H Humphrey, Democrat, 43.8
Petersburg City, Hubert H Humphrey, Democrat, 49.41
Portsmouth City, Hubert H Humphrey, Democrat, 42.09
Radford City, Richard M Nixon, Republican, 55.4
Richmond City, Hubert H Humphrey, Democrat, 49.28
Roanoke City, Richard M Nixon, Republican, 51.21
Salem City, Richard M Nixon, Republican, 57.77
South Boston City, Richard M Nixon, Republican, 50.17
Staunton City, Richard M Nixon, Republican, 61.4
Suffolk City, Richard M Nixon, Republican, 37.95
Virginia Beach City, Richard M Nixon, Republican, 43.23
Waynesboro City, Richard M Nixon, Republican, 61.38
Williamsburg City, Richard M Nixon, Republican, 46.73
Winchester City, Richard M Nixon, Republican, 55.76
